feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,MLP,143,PRUNED,0.9423729719033906,156,True,209,57,0.0038759309049039388,0.0023637268209574075
B,MLP,144,COMPLETE,0.9653770760848241,158,True,185,15,0.09904578256214436,0.0007968126357999988
B,MLP,145,PRUNED,0.9467632896320077,150,True,218,43,0.09647459494266336,0.0018243253088172536
B,MLP,146,COMPLETE,0.9644950967253724,158,True,217,18,0.011480955721451904,0.0014510323250351818
B,MLP,147,PRUNED,0.9490409120025999,123,False,234,28,0.06444258844670156,0.00671599794755771
B,MLP,148,PRUNED,0.9490938262507258,163,True,228,22,0.06884419296694795,0.002002949425826618
B,MLP,149,PRUNED,0.9534151490142151,109,True,141,17,0.029390860880148407,0.000786005268153862
B,SVM-lineal,0,COMPLETE,0.8836522597270937,76,True,3.907967156822881
B,SVM-lineal,1,PRUNED,0.8689944485637202,43,True,157.41890047456639
B,SVM-lineal,2,PRUNED,0.8761323557481825,110,True,659.871107205407
B,SVM-lineal,3,PRUNED,0.8914433701085958,145,True,0.012601639723276799
B,SVM-lineal,4,PRUNED,0.8870219844523795,65,True,0.055895242052179224
B,SVM-lineal,5,COMPLETE,0.8891437245405234,112,False,0.1578232781079558
B,SVM-lineal,6,PRUNED,0.8759588977907955,88,True,1.2173252504194043
B,SVM-lineal,7,PRUNED,0.8891377983822815,109,False,0.010547383621352036
B,SVM-lineal,8,PRUNED,0.8402040505240869,29,False,70.85721663941601
B,SVM-lineal,9,PRUNED,0.886955002430163,65,False,0.4374364439939078
B,SVM-lineal,10,PRUNED,0.8737078640072977,143,False,3.3003414633341435
B,SVM-lineal,11,PRUNED,0.8805092956204663,100,False,2.079965023991909
B,SVM-lineal,12,PRUNED,0.7915611985821821,35,False,0.003973209696389068
B,SVM-lineal,13,COMPLETE,0.9016364386801415,145,False,0.04827173383352844
B,SVM-lineal,14,PRUNED,0.8991989960760047,153,False,0.10446673473187791
B,SVM-lineal,15,PRUNED,0.8891433958418886,170,False,0.00454957512447283
B,SVM-lineal,16,PRUNED,0.8991451812423286,112,False,0.06972496360183598
B,SVM-lineal,17,PRUNED,0.8628769761244707,132,True,2.147471511772966
B,SVM-lineal,18,PRUNED,0.8650207292782551,100,False,598.8125581708807
B,SVM-lineal,19,PRUNED,0.8319908499264705,132,False,0.001163303907571183
B,SVM-lineal,20,PRUNED,0.8893375427705061,169,False,0.4207296147297692
B,SVM-lineal,21,PRUNED,0.8645239819884316,45,True,5.673622316973224
B,SVM-lineal,22,PRUNED,0.8848631085219272,106,False,0.5039863808235403
B,SVM-lineal,23,PRUNED,0.8781632371255876,93,True,10.872801687665644
B,SVM-lineal,24,PRUNED,0.8407396280981778,104,True,0.0015779681806100201
B,SVM-lineal,25,PRUNED,0.8716757726143197,130,False,0.5973908243885082
B,SVM-lineal,26,PRUNED,0.8870600188569697,167,True,0.5748462736114955
B,SVM-lineal,27,PRUNED,0.8990951906559486,127,False,0.04334075678089248
B,SVM-lineal,28,PRUNED,0.8398896285134387,30,True,0.043171751823165704
B,SVM-lineal,29,PRUNED,0.8847101699867825,57,True,74.69629987793796
B,SVM-lineal,30,PRUNED,0.87794971377838,72,True,0.5674983997488673
B,SVM-lineal,31,COMPLETE,0.8989496674659765,143,False,0.1340874040606084
B,SVM-lineal,32,COMPLETE,0.9024615678082775,130,False,0.07716142177878768
B,SVM-lineal,33,COMPLETE,0.9051195451246838,140,False,0.08238019379898781
B,SVM-lineal,34,COMPLETE,0.906024554079926,152,False,0.04105039990507239
B,SVM-lineal,35,PRUNED,0.904665101159742,142,False,0.029414167042546447
B,SVM-lineal,36,PRUNED,0.9046403112341088,135,False,0.01234793242584809
B,SVM-lineal,37,COMPLETE,0.9113686256977699,160,True,0.012822309925991876
B,SVM-lineal,38,PRUNED,0.864815421793798,152,True,0.0018459659552999574
B,SVM-lineal,39,COMPLETE,0.9121933199489941,166,True,0.05247893039826251
B,SVM-lineal,40,PRUNED,0.8924598565166375,129,True,0.11849476824431401
B,SVM-lineal,41,COMPLETE,0.9113326777033061,169,True,0.010638454350543303
B,SVM-lineal,42,COMPLETE,0.9139469625086141,169,True,0.045792994041087304
B,SVM-lineal,43,COMPLETE,0.9121852942652392,169,True,0.053391599642421274
B,SVM-lineal,44,PRUNED,0.90584074132981,159,True,0.06009918553249541
B,SVM-lineal,45,COMPLETE,0.9113543150757175,166,True,0.03898708454347591
B,SVM-lineal,46,PRUNED,0.8914448164847639,166,True,0.13374497685330194
B,SVM-lineal,47,COMPLETE,0.913103953795795,169,True,0.020179624947536362
B,SVM-lineal,48,COMPLETE,0.9130700883461532,169,True,0.007043470410964781
B,SVM-lineal,49,PRUNED,0.8715231552885655,169,True,0.0016673254905203792
B,SVM-lineal,50,COMPLETE,0.9104350659990645,168,True,0.04367507368898035
B,SVM-lineal,51,PRUNED,0.8958411458742248,140,True,0.013770332402576557
B,SVM-lineal,52,COMPLETE,0.9157223813925913,168,True,0.031144488304664972
B,SVM-lineal,53,PRUNED,0.8937090939435336,166,True,0.23932543493275324
B,SVM-lineal,54,PRUNED,0.9091404178818221,157,True,0.017917276776357922
B,SVM-lineal,55,COMPLETE,0.9121862590840447,167,True,0.006813407797067733
B,SVM-lineal,56,COMPLETE,0.9113411250397707,170,True,0.018772529169361365
B,SVM-lineal,57,COMPLETE,0.9121862422852318,167,True,0.007163812370694206
B,SVM-lineal,58,PRUNED,0.902403904537341,132,True,0.013077106298444911
B,SVM-lineal,59,PRUNED,0.8958130477689894,170,True,0.004559154886534323
B,SVM-lineal,60,PRUNED,0.884969155069114,149,True,0.10809491438695931
B,SVM-lineal,61,PRUNED,0.8781926554552812,163,True,0.002144689006702487
B,SVM-lineal,62,COMPLETE,0.9095338519064929,168,True,0.006883639088821925
B,SVM-lineal,63,PRUNED,0.9102040300220882,168,True,0.048272551839282564
B,SVM-lineal,64,PRUNED,0.8980480216173912,168,True,0.009897777106191087
B,SVM-lineal,65,PRUNED,0.8892834149482022,165,True,118.97238152491417
B,SVM-lineal,66,PRUNED,0.8869367065369081,140,True,0.006081056171670588
B,SVM-lineal,67,PRUNED,0.8607227500440527,151,False,965.6482791446289
B,SVM-lineal,68,COMPLETE,0.914901271444385,167,True,0.015759845423011808
B,SVM-lineal,69,PRUNED,0.9102040300220882,168,True,0.047509437558534665
B,SVM-lineal,70,PRUNED,0.9101846124252067,170,True,0.081750136146553
B,SVM-lineal,71,COMPLETE,0.9148563087124033,169,True,0.009397025711431488
B,SVM-lineal,72,PRUNED,0.8981832197408048,138,True,0.07562829456009104
B,SVM-lineal,73,COMPLETE,0.9131046357707575,170,True,0.012476185515116147
B,SVM-lineal,74,COMPLETE,0.9130645619959565,169,True,0.025308000999918746
B,SVM-lineal,75,PRUNED,0.8606555208237233,167,False,0.00152019112367539
B,SVM-lineal,76,PRUNED,0.8913409622662276,51,False,459.6481532262853
B,SVM-lineal,77,PRUNED,0.8713980952115916,140,True,0.0025245409330404305
B,SVM-lineal,78,PRUNED,0.9002520168330905,169,True,0.005186023893356482
B,SVM-lineal,79,PRUNED,0.8871263102650888,146,True,0.043912422901042004
B,SVM-lineal,80,COMPLETE,0.9130659421536343,169,True,0.04356237523298246
B,SVM-lineal,81,PRUNED,0.8205962854295463,52,True,0.0021727870818520865
B,SVM-lineal,82,PRUNED,0.8914433701085958,166,True,0.36302839326935377
B,SVM-lineal,83,COMPLETE,0.9122123401823444,169,True,0.021122588527437532
B,SVM-lineal,84,COMPLETE,0.9139823442631011,167,True,0.021512235348712813
B,SVM-lineal,85,PRUNED,0.8517146113617204,78,False,0.00315538295701031
B,SVM-lineal,86,COMPLETE,0.9148405298301576,170,False,0.03354283296222701
B,SVM-lineal,87,PRUNED,0.8981421993674552,162,False,0.016390217153533556
B,SVM-lineal,88,PRUNED,0.9003035696612574,162,False,0.13662841737241777
B,SVM-lineal,89,PRUNED,0.8958455366970628,141,True,0.01410007780907639
B,SVM-lineal,90,PRUNED,0.8981451370066506,159,False,0.04828713770243
B,SVM-lineal,91,COMPLETE,0.9104320492671578,169,False,0.013997384928292441
B,SVM-lineal,92,PRUNED,0.8980480216173912,168,True,0.004834858001492137
B,SVM-lineal,93,PRUNED,0.9113410932286955,167,True,0.13368009957355223
B,SVM-lineal,94,COMPLETE,0.9130991981740866,169,True,0.07176900409182367
B,SVM-lineal,95,PRUNED,0.9003696910438226,142,True,0.032055904106621735
B,SVM-lineal,96,PRUNED,0.8737345737235158,137,True,1.8700653571564378
B,SVM-lineal,97,PRUNED,0.898048077802599,170,True,0.0058493841807022474
B,SVM-lineal,98,COMPLETE,0.9122018082800555,170,False,0.10433715249407612
B,SVM-lineal,99,PRUNED,0.8913544125514286,56,False,4.116113565338623
B,SVM-lineal,100,PRUNED,0.9113045798478081,168,True,0.07874975835303542
B,SVM-lineal,101,PRUNED,0.9124036173618832,170,True,0.031760530280127056
B,SVM-lineal,102,PRUNED,0.8131389749872303,21,False,0.4743365546042135
B,SVM-lineal,103,PRUNED,0.9002800831816591,170,True,0.13048478000353986
B,SVM-lineal,104,COMPLETE,0.9139974164469127,170,True,0.011770752074978899
B,SVM-lineal,105,PRUNED,0.8847783095468753,167,True,0.002072099578791446
B,SVM-lineal,106,PRUNED,0.8958396746159573,148,True,0.016063190170908945
B,SVM-lineal,107,PRUNED,0.8892834149482022,165,False,12.158541943564941
B,SVM-lineal,108,PRUNED,0.9113139531878008,170,True,0.013817656745829066
B,SVM-lineal,109,PRUNED,0.8914080716251134,151,True,0.006894064944221323
B,SVM-lineal,110,COMPLETE,0.9131188673792593,169,True,0.010835780203214705
B,SVM-lineal,111,PRUNED,0.9124299509863742,170,True,0.015072932545810063
B,SVM-lineal,112,PRUNED,0.8518552773674597,170,True,0.0011140104068308662
B,SVM-lineal,113,COMPLETE,0.9122248559186661,169,True,0.014539492542316844
B,SVM-lineal,114,PRUNED,0.8827431184923018,112,True,212.0314847769377
B,SVM-lineal,115,PRUNED,0.8893684936060579,137,True,0.09598748072070108
B,SVM-lineal,116,PRUNED,0.9113076347082469,170,True,0.05874904212395972
B,SVM-lineal,117,PRUNED,0.8914786217789394,145,True,0.014274541522898854
B,SVM-lineal,118,PRUNED,0.8959087783703182,147,True,0.014459643315799658
B,SVM-lineal,119,PRUNED,0.8980480216173912,169,True,0.004999518969248548
B,SVM-lineal,120,PRUNED,0.9112988565827917,168,True,0.09129450736941021
B,SVM-lineal,121,PRUNED,0.9124299509863742,170,True,0.012023199394753036
B,SVM-lineal,122,COMPLETE,0.9148782306626396,168,True,0.10622155252496676
B,SVM-lineal,123,PRUNED,0.8893198190914977,143,True,0.26317226287071904
B,SVM-lineal,124,PRUNED,0.8826595081668921,155,True,1.2504040916587942
B,SVM-lineal,125,COMPLETE,0.9148274808875836,170,True,0.043451017774479975
B,SVM-lineal,126,PRUNED,0.8848943833821552,169,True,1.0097385185376553
B,SVM-lineal,127,PRUNED,0.8849339627103407,149,True,0.0626658813785914
