feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,SVM-lineal,4,PRUNED,0.8646666428818148,65,True,0.055895242052179224
B,SVM-lineal,5,PRUNED,0.8718986741251493,112,False,0.1578232781079558
B,SVM-lineal,6,PRUNED,0.848230090493364,88,True,1.2173252504194043
B,SVM-lineal,7,PRUNED,0.8661722933360774,109,False,0.010547383621352036
B,SVM-lineal,8,PRUNED,0.8486514062451028,29,False,70.85721663941601
B,SVM-lineal,9,PRUNED,0.867625358585707,65,False,0.4374364439939078
B,SVM-lineal,10,PRUNED,0.8873668501297316,161,True,0.001959351783384089
B,SVM-lineal,11,PRUNED,0.8700351410390769,129,True,558.3036251773217
B,SVM-lineal,12,PRUNED,0.8714054359714503,167,True,1.0014119052377968
B,SVM-lineal,13,PRUNED,0.8857226320521556,106,False,65.00360715624453
B,SVM-lineal,14,COMPLETE,0.8957043335396732,123,True,0.008234637873422015
B,SVM-lineal,15,PRUNED,0.8845015815844703,114,True,0.0026217872623110084
B,SVM-lineal,16,COMPLETE,0.8902056546956043,129,True,0.05751265648141222
B,SVM-lineal,17,PRUNED,0.8760245124262327,149,True,0.06542679802679843
B,SVM-lineal,18,PRUNED,0.8765206475949092,155,False,0.003200152721112044
B,SVM-lineal,19,PRUNED,0.8589208957602587,85,True,0.003194664113134531
B,SVM-lineal,20,PRUNED,0.8730128810200588,151,False,0.8154732578843107
B,SVM-lineal,21,PRUNED,0.8893307928297004,113,True,0.0728993472144627
B,SVM-lineal,22,COMPLETE,0.8961250724535077,122,True,0.03143023539491026
B,SVM-lineal,23,PRUNED,0.8736112841495659,131,True,0.0012392667512966227
B,SVM-lineal,24,COMPLETE,0.8944277850846337,119,True,0.024610935634139807
B,SVM-lineal,25,PRUNED,0.8967980978244723,157,True,0.014359412683443767
B,SVM-lineal,26,PRUNED,0.8574074498674877,79,False,0.0020094371937852905
B,SVM-lineal,27,PRUNED,0.8183894802142297,24,False,0.007896338377498757
B,SVM-lineal,28,PRUNED,0.8761491183339891,115,True,0.231965901750839
B,SVM-lineal,29,PRUNED,0.8500935709445743,21,True,0.07479593166172943
B,SVM-lineal,30,PRUNED,0.8757820046125436,134,True,1.5372488687005663
B,SVM-lineal,31,PRUNED,0.885724895315664,110,True,0.04330167066438566
B,SVM-lineal,32,PRUNED,0.893213477840819,122,True,0.005068567625561118
B,SVM-lineal,33,COMPLETE,0.8944645696609967,122,True,0.01987911942375244
B,SVM-lineal,34,PRUNED,0.8975062028106318,139,True,0.031601635275457826
B,SVM-lineal,35,COMPLETE,0.8968004468187862,130,True,0.021655524938703787
B,SVM-lineal,36,PRUNED,0.8983383285975626,135,True,0.005020786125383638
B,SVM-lineal,37,PRUNED,0.8878917580172231,160,True,0.029197256774475714
B,SVM-lineal,38,PRUNED,0.8954521378230951,136,False,0.028252440004964366
B,SVM-lineal,39,PRUNED,0.8655813418993251,169,False,143.84648405222237
B,SVM-lineal,40,COMPLETE,0.8968015635218656,134,True,0.01090219416615343
B,SVM-lineal,41,COMPLETE,0.8974113127790497,132,True,0.010652854568286156
B,SVM-lineal,42,PRUNED,0.8989622234593297,141,True,0.027383310237417503
B,SVM-lineal,43,COMPLETE,0.8984648553677932,145,True,0.01949524838578936
B,SVM-lineal,44,PRUNED,0.8835509638880641,155,True,0.0030954312604836737
B,SVM-lineal,45,PRUNED,0.8818810603724054,155,True,0.039745125469757836
B,SVM-lineal,46,PRUNED,0.8821884697732663,147,True,0.002591991946721716
B,SVM-lineal,47,PRUNED,0.8795615923188954,123,False,0.0058055862786657725
B,SVM-lineal,48,PRUNED,0.8643421309687467,62,True,621.464302026965
B,SVM-lineal,49,PRUNED,0.8669464121839189,143,True,0.1884312738575517
B,SVM-lineal,50,COMPLETE,0.89623611868758,134,True,0.009700618421435978
B,SVM-lineal,51,PRUNED,0.8821621028460789,138,True,0.006100120580171395
B,SVM-lineal,52,PRUNED,0.8586469728238697,56,True,8.859396994472153
B,SVM-lineal,53,COMPLETE,0.8979116376966191,135,True,0.023101052021513132
B,SVM-lineal,54,COMPLETE,0.9031734552999359,135,True,0.03762591696896909
B,SVM-lineal,55,PRUNED,0.8674828041117114,103,False,2.0670510360775642
B,SVM-lineal,56,PRUNED,0.8805004890502106,132,True,0.09454479012726663
B,SVM-lineal,57,PRUNED,0.8774594210572034,142,True,0.07293197006439468
B,SVM-lineal,58,PRUNED,0.861639778299889,102,True,0.008315354626021496
B,SVM-lineal,59,COMPLETE,0.8996769573331944,135,True,0.026990345724013612
B,SVM-lineal,60,PRUNED,0.8701983813923772,167,False,0.0692486450478786
B,SVM-lineal,61,PRUNED,0.896718257713017,130,True,0.0486227725662327
B,SVM-lineal,62,COMPLETE,0.8973632179702669,130,True,0.028936205707361076
B,SVM-lineal,63,PRUNED,0.8848153538436547,139,True,0.0764110361617637
B,SVM-lineal,64,COMPLETE,0.8968084834076728,132,True,0.012658401599467843
B,SVM-lineal,65,PRUNED,0.8640843218965134,170,True,52.04562102144845
B,SVM-lineal,66,PRUNED,0.8717004934654655,98,True,0.10701582340773089
B,SVM-lineal,67,PRUNED,0.8774166294279594,156,True,0.11924941462768972
B,SVM-lineal,68,PRUNED,0.8601095616330163,57,False,74.10351974334259
B,SVM-lineal,69,PRUNED,0.8807435408147228,119,True,0.013828153848498507
B,SVM-lineal,70,PRUNED,0.8701853843898522,121,True,0.27637064726201394
B,SVM-lineal,71,PRUNED,0.8707027316169369,118,True,0.0011786161205438216
B,SVM-lineal,72,COMPLETE,0.8985522752830386,133,True,0.011989719930581223
B,SVM-lineal,73,COMPLETE,0.8979896132737661,139,True,0.012617537605590624
B,SVM-lineal,74,PRUNED,0.8849279051499849,165,True,0.012441552181463944
B,SVM-lineal,75,PRUNED,0.8569575796089112,99,True,26.470762973746865
B,SVM-lineal,76,PRUNED,0.9011688313235295,133,True,0.019791825326432363
B,SVM-lineal,77,PRUNED,0.876082001798761,124,False,0.24984623770964226
B,SVM-lineal,78,PRUNED,0.8952573043164015,138,True,0.037911176522851184
B,SVM-lineal,79,COMPLETE,0.8973916769177425,143,True,0.00905369807517315
B,SVM-lineal,80,PRUNED,0.8749680021049251,160,True,0.001178571081689664
B,SVM-lineal,81,COMPLETE,0.8997254078823262,144,True,0.009907587807403
B,SVM-lineal,82,PRUNED,0.899009367591746,143,True,0.0130238917846007
B,SVM-lineal,83,PRUNED,0.8946571816714636,148,True,0.005246739018874536
B,SVM-lineal,84,PRUNED,0.8945832719428172,157,True,0.021705003876212894
B,SVM-lineal,85,PRUNED,0.8865848734249538,132,True,0.004100550179915521
B,SVM-lineal,86,PRUNED,0.885127945836219,142,True,0.0048801050109037285
B,SVM-lineal,87,PRUNED,0.898252527110677,139,True,0.029473124213807173
B,SVM-lineal,88,PRUNED,0.8837694434364178,141,False,0.005775659943549049
B,SVM-lineal,89,PRUNED,0.8833785760391338,168,True,0.03721850621216009
B,SVM-lineal,90,PRUNED,0.8792785586458899,116,True,0.007719604728276118
B,SVM-lineal,91,PRUNED,0.8791660010078036,120,True,0.08781756373298147
B,SVM-lineal,92,COMPLETE,0.8985066927900585,133,True,0.01970278734305235
B,SVM-lineal,93,PRUNED,0.8821605735478601,138,True,0.007655672359389129
B,SVM-lineal,94,PRUNED,0.8835811597495729,135,True,0.016685877468967124
B,SVM-lineal,95,PRUNED,0.8803491090512463,137,True,0.200262172057818
B,SVM-lineal,96,PRUNED,0.8749146255717306,138,True,0.0012955562658556457
B,SVM-lineal,97,PRUNED,0.8865576956372714,112,True,0.020466485377094213
B,SVM-lineal,98,PRUNED,0.8819001078236723,146,True,0.05899869289541033
B,SVM-lineal,99,PRUNED,0.8960532213277328,155,True,0.010197854120772041
B,SVM-lineal,100,PRUNED,0.8968134200494444,124,True,0.019283672287526882
B,SVM-lineal,101,PRUNED,0.8983521840774196,129,True,0.01262237724092678
B,SVM-lineal,102,PRUNED,0.8444588274859882,21,False,0.4743365546042135
B,SVM-lineal,103,PRUNED,0.8775592181831015,131,True,0.1232011272926254
B,SVM-lineal,104,PRUNED,0.8983017207572476,127,True,0.027544317138281184
B,SVM-lineal,105,PRUNED,0.878971447460377,141,True,0.0374188748703229
B,SVM-lineal,106,PRUNED,0.8865871243267294,135,True,0.010145400522485071
B,SVM-lineal,107,PRUNED,0.8792748958603946,112,True,0.01269886833302759
B,SVM-lineal,108,PRUNED,0.875725689307783,152,True,0.9397963573622196
B,SVM-lineal,109,PRUNED,0.867681467161395,95,False,0.015205126695044613
B,SVM-lineal,110,PRUNED,0.8686354201747224,131,False,92.74135430940036
B,SVM-lineal,111,PRUNED,0.8961294704380004,131,True,0.006601331744003126
B,SVM-lineal,112,PRUNED,0.8864130851449404,142,True,0.029279879875211523
B,SVM-lineal,113,COMPLETE,0.8997063684668867,142,True,0.01230604643984646
B,SVM-lineal,114,PRUNED,0.8952758250031956,153,True,0.015853462074768666
B,SVM-lineal,115,PRUNED,0.8983509345713994,142,True,0.005944974774113128
B,SVM-lineal,116,PRUNED,0.8922431875967239,133,True,0.0747673126241767
B,SVM-lineal,117,PRUNED,0.8945490524038584,151,True,0.012923356534938316
B,SVM-lineal,118,PRUNED,0.8806062916005162,109,True,0.05725449613659005
B,SVM-lineal,119,PRUNED,0.849680899887236,85,False,651.788657756729
B,SVM-lineal,120,PRUNED,0.8852700926137338,122,True,0.0026464532460704834
B,SVM-lineal,121,PRUNED,0.8851994943907346,137,False,0.027790305889124123
B,SVM-lineal,122,COMPLETE,0.89623611868758,134,True,0.009737772365300025
B,SVM-lineal,123,PRUNED,0.8833870406810302,138,True,0.05306221296514244
B,SVM-lineal,124,PRUNED,0.8851272731975767,139,True,0.005547010222519804
B,SVM-lineal,125,PRUNED,0.9004936695534952,119,True,0.02403820172157484
B,SVM-lineal,126,PRUNED,0.8760434619359591,154,True,0.05284251923508001
B,SVM-lineal,127,PRUNED,0.8983208277599357,141,True,0.004554637983473964
B,SVM-lineal,128,PRUNED,0.8996796659491236,122,True,0.0307384736412785
B,SVM-lineal,129,PRUNED,0.8762505662380919,170,True,0.0018799454317517715
B,SVM-lineal,130,PRUNED,0.8820089597609915,129,True,0.09872063015214072
B,SVM-lineal,131,PRUNED,0.8837048521442532,124,True,0.004343450521607629
B,SVM-lineal,132,PRUNED,0.8989276838514209,147,True,0.022618141306551466
B,SVM-lineal,133,PRUNED,0.8851231806193836,135,True,0.013407529985224405
B,SVM-lineal,134,PRUNED,0.8601846591236777,50,True,0.012537567357934673
B,SVM-lineal,135,PRUNED,0.900514868422395,137,True,0.009448883078645588
B,SVM-lineal,136,PRUNED,0.8632908599399869,106,True,0.001907203678348308
B,SVM-lineal,137,PRUNED,0.8863116971676168,146,True,0.042749871710622334
B,SVM-lineal,138,PRUNED,0.8982439643247339,133,True,0.017678792657557223
B,SVM-lineal,139,PRUNED,0.885102580706437,145,True,0.004933478019882288
B,SVM-lineal,140,PRUNED,0.893062164099877,119,True,0.05231522003546246
B,SVM-lineal,141,PRUNED,0.8968360939862526,127,True,0.01834938766069825
B,SVM-lineal,142,PRUNED,0.8848579897625334,135,True,0.1394649475140911
B,SVM-lineal,143,PRUNED,0.8822192022781576,119,True,0.00894277166454643
B,SVM-lineal,144,PRUNED,0.9003992669350291,148,True,0.02131275899019667
B,SVM-lineal,145,PRUNED,0.857566256262827,123,False,0.0014294121179931876
B,SVM-lineal,146,PRUNED,0.8573558463963085,30,True,438.42592933828996
B,SVM-lineal,147,PRUNED,0.8837447376911692,131,True,0.0022219892745828198
B,SVM-lineal,148,PRUNED,0.8960025066447537,139,True,0.03728724977655766
B,SVM-lineal,149,PRUNED,0.8729215026913979,168,True,0.17390590601323605
B,SVM-RBF,0,COMPLETE,0.9172114485307141,76,True,39.07967156822882,scale,
B,SVM-RBF,1,PRUNED,0.41519627917290597,150,False,0.013289448722869189,scale,
B,SVM-RBF,2,PRUNED,0.8135727802639401,47,False,14.077923139972402,value,6.870101665590028e-05
